Date,suhu,kelembaban,matahari
01-01-2010,27.2,83,5.3
02-01-2010,27.3,84,5.2
03-01-2010,28.5,82,4.3
04-01-2010,27.7,84,7
05-01-2010,26.9,85,4.6
06-01-2010,26.7,87,4.5
07-01-2010,26.3,85,3.3
08-01-2010,26.1,84,1.8
09-01-2010,25.7,87,2.4
10-01-2010,26.2,87,0
11-01-2010,26.8,86,0.5
12-01-2010,27.1,89,3.9
13-01-2010,26,86,1.3
14-01-2010,26.2,82,2.7
15-01-2010,26.3,83,3.5
16-01-2010,26.5,84,0.3
17-01-2010,25.8,86,0.5
18-01-2010,27,84,4.8
19-01-2010,25.4,90,5.8
20-01-2010,26.2,86,0
21-01-2010,26.5,85,3.3
22-01-2010,26.1,89,2.1
23-01-2010,25.8,87,3
24-01-2010,26.5,87,5.8
25-01-2010,26,89,5.9
26-01-2010,26.6,87,4.6
27-01-2010,26.2,90,1
28-01-2010,26.7,86,5.2
29-01-2010,26.3,94,5
30-01-2010,27,87,3.6
31-01-2010,26.9,85,5.8
01-02-2010,26,90,1.8
02-02-2010,27.2,88,2.5
03-02-2010,26.8,87,2.4
04-02-2010,27,88,2.5
05-02-2010,27.2,86,5.8
06-02-2010,25.7,92,6.3
07-02-2010,27.1,87,0.8
08-02-2010,27.6,79,6.4
09-02-2010,27.5,85,5.5
10-02-2010,28.1,82,5.3
11-02-2010,27.5,84,5.3
12-02-2010,26.7,83,3.9
13-02-2010,27.3,85,5.1
14-02-2010,26.2,90,3
15-02-2010,26.8,85,4.4
16-02-2010,27.7,84,4.7
17-02-2010,26.8,88,4.7
18-02-2010,27.2,88,5.3
19-02-2010,26.8,84,3.5
20-02-2010,26.8,87,2.4
21-02-2010,27.9,82,6.5
22-02-2010,27.5,84,6.5
23-02-2010,27.5,86,5
24-02-2010,27.4,84,4.3
25-02-2010,27,84,4.8
26-02-2010,27.9,78,3.3
27-02-2010,28.3,80,8
28-02-2010,27.6,85,4.6
01-03-2010,27.4,86,7.5
02-03-2010,27.4,84,5.6
03-03-2010,27.7,82,5.4
04-03-2010,27.2,83,5.6
05-03-2010,25.9,88,1.5
06-03-2010,27.7,82,7.7
07-03-2010,28.5,82,6.8
08-03-2010,27.2,85,5.6
09-03-2010,27.3,86,6.2
10-03-2010,27.4,85,0.8
11-03-2010,25.7,88,3.3
12-03-2010,27.3,84,5.1
13-03-2010,28.2,78,7.5
14-03-2010,28.3,78,4.6
15-03-2010,26.4,85,4.5
16-03-2010,25.7,94,6.6
17-03-2010,26.2,89,4
18-03-2010,26.5,86,6.3
19-03-2010,26.9,86,6.5
20-03-2010,26.5,88,5.3
21-03-2010,27.1,89,2.3
22-03-2010,27.1,85,4.8
23-03-2010,28,82,6.2
24-03-2010,28.6,84,6.2
25-03-2010,28.6,81,7.7
26-03-2010,27,87,1.3
27-03-2010,27.8,81,4.8
28-03-2010,25.9,87,1.2
29-03-2010,26.6,86,5.5
30-03-2010,26.1,91,0
31-03-2010,27.1,85,3.1
01-04-2010,26.7,86,3.1
02-04-2010,27.7,86,7.5
03-04-2010,28,80,5
04-04-2010,27.6,78,2
05-04-2010,27.2,84,5.4
06-04-2010,28.2,80,6
07-04-2010,27.4,87,6.8
08-04-2010,27.9,85,3.8
09-04-2010,28.7,81,4.4
10-04-2010,28.1,84,4.9
11-04-2010,27.4,87,3.2
12-04-2010,27.5,81,3.5
13-04-2010,28.3,85,8
14-04-2010,27.4,87,7.1
15-04-2010,28.5,82,5.2
16-04-2010,26.8,88,6
17-04-2010,28.6,79,0.8
18-04-2010,29.2,79,7.8
19-04-2010,29,80,2
20-04-2010,27.3,85,7.2
21-04-2010,28.6,80,6.2
22-04-2010,29.3,82,7.6
23-04-2010,28,88,6.5
24-04-2010,27.3,87,5
25-04-2010,27.3,85,5.8
26-04-2010,29.3,74,1.7
27-04-2010,29,78,8
28-04-2010,27.2,87,1.7
29-04-2010,27.8,83,3.6
30-04-2010,28.4,81,6.4
01-05-2010,29.1,75,3.3
02-05-2010,28.9,79,7.7
03-05-2010,28.3,78,6
04-05-2010,28.1,83,6.7
05-05-2010,27.3,85,4.3
06-05-2010,28.7,76,1.5
07-05-2010,28.6,80,8
08-05-2010,27.5,87,8
09-05-2010,28,81,3.2
10-05-2010,28.1,82,7
11-05-2010,27.1,90,2.8
12-05-2010,27.2,86,5.3
13-05-2010,27,90,4.6
14-05-2010,26.5,90,2
15-05-2010,27.9,82,3.8
16-05-2010,26.5,91,7
17-05-2010,28.1,86,0.5
18-05-2010,29.5,83,5
19-05-2010,29.3,82,7.6
20-05-2010,27.1,87,7.5
21-05-2010,27.1,86,3.7
22-05-2010,27,85,6.8
23-05-2010,27.8,84,8
24-05-2010,28.2,84,4.4
25-05-2010,29,80,4
26-05-2010,28.6,78,6.9
27-05-2010,27.5,82,7
28-05-2010,27.9,82,4.7
29-05-2010,28.1,81,8
30-05-2010,28.5,80,2.5
31-05-2010,28.9,78,8
01-06-2010,28.9,82,8
